foundPath,weight,visited,expanded,maxListSize,depth,extra
True,206,106,340,0,66,0
True,280,143,483,0,84,0
True,262,111,327,0,76,0
foundPath,weight,visited,expanded,maxListSize,depth,extra
True,303,206,620,0,108,1
True,359,139,429,0,84,1
True,397,204,642,0,100,1
foundPath,weight,visited,expanded,maxListSize,depth,extra
True,325,169,521,0,98,2
True,247,134,388,0,86,2
True,294,143,431,0,84,2
foundPath,weight,visited,expanded,maxListSize,depth,extra
True,182,92,261,0,54,3
True,126,68,213,0,38,3
True,160,68,202,0,40,3
foundPath,weight,visited,expanded,maxListSize,depth,extra
True,306,169,501,0,86,4
True,265,138,430,0,64,4
True,144,76,220,0,40,4
