foundPath,weight,visited,expanded,maxListSize,depth,extra
True,27,18,61,0,12,0
True,191,165,464,0,88,0
True,26,26,76,0,14,0
foundPath,weight,visited,expanded,maxListSize,depth,extra
True,71,51,160,0,34,1
True,90,63,204,0,38,1
True,66,49,164,0,28,1
foundPath,weight,visited,expanded,maxListSize,depth,extra
True,84,42,132,0,34,2
True,115,101,323,0,60,2
True,91,69,210,0,44,2
foundPath,weight,visited,expanded,maxListSize,depth,extra
True,95,61,207,0,38,3
True,110,109,343,0,60,3
True,60,64,214,0,32,3
foundPath,weight,visited,expanded,maxListSize,depth,extra
True,53,33,108,0,22,4
True,148,126,353,0,66,4
True,24,18,55,0,14,4
