foundPath,weight,visited,expanded,maxListSize,depth,extra
True,1254,575,1623,0,313,0
True,298,96,337,0,59,0
True,566,230,791,0,116,0
foundPath,weight,visited,expanded,maxListSize,depth,extra
False,-1,10000,24160,0,2334,1
foundPath,weight,visited,expanded,maxListSize,depth,extra
True,401,109,357,0,77,2
True,153,51,184,0,33,2
True,606,203,789,0,122,2
foundPath,weight,visited,expanded,maxListSize,depth,extra
True,1358,629,1795,0,333,3
True,172,50,187,0,31,3
True,389,135,531,0,74,3
foundPath,weight,visited,expanded,maxListSize,depth,extra
True,1692,728,2076,0,393,4
True,226,75,240,0,47,4
True,365,116,439,0,72,4
foundPath,weight,visited,expanded,maxListSize,depth,extra
True,1382,582,1676,0,324,0
True,298,96,337,0,59,0
True,566,230,791,0,116,0
foundPath,weight,visited,expanded,maxListSize,depth,extra
True,771,230,743,0,136,0
True,251,91,347,0,47,0
True,310,110,421,0,60,0
foundPath,weight,visited,expanded,maxListSize,depth,extra
False,-1,100,248,0,29,0
