Generation,PopBest,PopAvg,BestOverall
0,11.62027,0.5511997,11.62027
1,8.663354,-1.173066,11.62027
2,12.23858,1.565238,12.23858
3,6.453893,0.9898431,12.23858
4,10.22367,3.226208,12.23858
5,10.47418,3.204753,12.23858
6,9.595986,1.019754,12.23858
7,10.19403,3.263572,12.23858
8,6.349184,1.784396,12.23858
9,9.746397,1.988105,12.23858
10,10.92919,0.760933,12.23858
11,10.50096,2.931345,12.23858
12,11.42561,2.158028,12.23858
13,7.234666,0.9567049,12.23858
14,11.81713,3.891574,12.23858
15,10.74743,1.831395,12.23858
16,17.1959,2.528139,17.1959
17,10.33572,3.357991,17.1959
18,16.5623,5.139359,17.1959
19,7.580024,2.645798,17.1959
20,10.87803,1.168998,17.1959
21,11.98966,3.503894,17.1959
22,9.484899,1.882632,17.1959
23,2.80532,0.1391701,17.1959
24,2.178546,-0.1014177,17.1959
25,6.291169,0.5889218,17.1959
26,16.37299,5.885264,17.1959
27,17.17863,3.486942,17.1959
28,12.26566,0.706928,17.1959
29,12.99475,1.621979,17.1959

