Generation,PopBest,PopAvg,BestOverall
0,4.584399,-1.235817,4.584399
1,11.90502,0.4688424,11.90502
2,13.22648,1.221915,13.22648
3,11.11018,1.151773,13.22648
4,12.23039,1.939417,13.22648
5,8.990664,0.8474088,13.22648
6,12.48401,3.143972,13.22648
7,11.33262,2.736068,13.22648
8,9.852253,1.47844,13.22648
9,11.72203,2.622658,13.22648
10,13.20812,3.928464,13.22648
11,12.08764,3.632837,13.22648
12,12.34142,2.490247,13.22648
13,16.06903,1.819775,16.06903
14,13.27971,1.1357,16.06903
15,9.445593,2.141895,16.06903
16,11.23997,1.359689,16.06903
17,12.54692,2.518833,16.06903
18,8.664409,0.5401272,16.06903
19,11.75112,1.955717,16.06903
20,11.97096,1.713302,16.06903
21,13.0845,3.157228,16.06903
22,11.9669,1.52736,16.06903
23,13.20096,2.91881,16.06903
24,11.59042,0.5772467,16.06903
25,12.57634,1.77966,16.06903
26,18.35855,5.138784,18.35855
27,18.95404,1.900573,18.95404
28,11.2506,2.263327,18.95404
29,18.59126,2.325006,18.95404
30,11.52524,1.417493,18.95404
31,9.402592,0.4768443,18.95404
32,19.89169,1.884171,19.89169
33,9.357737,1.411041,19.89169
34,16.59875,2.877819,19.89169
35,16.75627,4.505103,19.89169
36,19.2737,2.932541,19.89169
37,21.87505,4.566948,21.87505
38,23.89653,2.395435,23.89653
39,16.6348,4.727141,23.89653
40,20.05524,4.688737,23.89653
41,19.55019,5.621354,23.89653
42,16.02866,5.454371,23.89653
43,11.44352,4.975067,23.89653
44,24.55838,5.242203,24.55838
45,20.66658,2.969337,24.55838
46,13.86837,2.827333,24.55838
47,25.13846,6.211902,25.13846
48,11.62565,1.806844,25.13846
49,12.54958,3.40065,25.13846

