Generation,PopBest,PopAvg,BestOverall
0,9.980102,0.2007775,9.980102
1,12.30374,2.770388,12.30374
2,15.73635,3.197602,15.73635
3,11.17772,1.496421,15.73635
4,20.87197,3.487146,20.87197
5,24.2583,5.153195,24.2583
6,22.82934,3.144637,24.2583
7,14.06466,2.380826,24.2583
8,11.12019,1.576552,24.2583
9,14.03614,2.015495,24.2583
10,24.59506,4.399152,24.59506
11,18.29119,4.33586,24.59506
12,11.54208,2.799208,24.59506
13,11.4136,2.895084,24.59506
14,8.735267,1.71671,24.59506
15,24.60223,2.497182,24.60223
16,16.33017,5.708203,24.60223
17,18.29689,3.497001,24.60223
18,13.85353,6.313281,24.60223
19,17.7903,3.825499,24.60223

