Generation,PopBest,PopAvg,BestOverall
0,10.3431,10.34309,10.3431
1,33.94585,-6.884993,33.94585
2,294.1276,11.50494,294.1276
3,932.6395,36.67361,932.6395
4,1040.135,31.50214,1040.135
5,10.34498,5.783051,1040.135
6,985.5841,58.17879,1040.135
7,313.1721,7.04528,1040.135
8,57.08043,-1.836722,1040.135
9,931.2531,20.11655,1040.135
10,162.511,14.44927,1040.135
11,10.35552,4.512173,1040.135
12,929.9965,46.79182,1040.135
13,62.24635,8.372006,1040.135
14,394.0274,26.94939,1040.135
15,110.0742,5.472316,1040.135
16,143.234,7.887621,1040.135
17,51.41629,-2.859333,1040.135
18,277.403,15.34911,1040.135
19,24.06486,-0.6177791,1040.135
20,256.0541,17.68784,1040.135
21,430.9091,11.4299,1040.135
22,801.4183,27.61709,1040.135
23,554.8242,12.22596,1040.135
24,198.486,18.75409,1040.135
25,871.5836,14.95632,1040.135
26,905.4661,26.04436,1040.135
27,151.5264,11.2475,1040.135
28,80.04504,10.02386,1040.135
29,400.1234,14.36941,1040.135
30,438.4097,12.44001,1040.135
31,326.3875,13.26461,1040.135
32,928.1156,37.56243,1040.135
33,18.6772,10.402,1040.135
34,797.0092,23.49235,1040.135
35,877.0537,36.07816,1040.135
36,126.3122,8.390273,1040.135
37,133.1418,7.220322,1040.135
38,888.7426,20.60101,1040.135
39,10.34498,-3.36557,1040.135
40,227.6835,13.21669,1040.135
41,852.4847,19.043,1040.135
42,968.4803,65.595,1040.135
43,728.7017,23.41712,1040.135
44,10.41335,-2.619859,1040.135
45,766.6805,6.693197,1040.135
46,266.8,12.25174,1040.135
47,850.6364,41.89429,1040.135
48,841.5403,29.06493,1040.135
49,65.99175,9.100559,1040.135

