Generation,PopBest,PopAvg,BestOverall
164,175.9402,175.9402,1083058
165,-131.6794,-131.6794,1083058
166,42.40993,42.40993,1083058
167,308.7738,308.7738,1083058
168,71.31872,71.31872,1083058
169,125.0813,125.0813,1083058
170,-11.78085,-11.78085,1083058
171,191.1943,191.1943,1083058
172,130.2861,130.2861,1083058
173,-283.1552,-283.1552,1083058
174,38.00532,38.00532,1083058
175,-37.15324,-37.15324,1083058
176,90.17645,90.17645,1083058
177,28.56782,28.56782,1083058
178,60.86735,60.86735,1083058
179,82.39216,82.39216,1083058
180,57.56406,57.56406,1083058
181,-100.0077,-100.0077,1083058
182,44.9587,44.9587,1083058
183,32.58261,32.58261,1083058
184,143.9106,143.9106,1083058
185,-30.85667,-30.85667,1083058
186,-108.0548,-108.0548,1083058
187,40.38841,40.38841,1083058
188,116.4237,116.4237,1083058
189,-252.6842,-252.6842,1083058
190,-57.96483,-57.96483,1083058
191,22.42179,22.42179,1083058
192,-389.1552,-389.1552,1083058
193,78.03051,78.03051,1083058
194,-102.9465,-102.9465,1083058
195,626.4236,626.4236,1083058
196,-57.63483,-57.63483,1083058
197,-20.67565,-20.67565,1083058
198,-13.095,-13.095,1083058
199,18.88046,18.88046,1083058

