Generation,PopBest,PopAvg,BestOverall
0,10.3431,10.34309,10.3431
1,224.4916,11.0071,224.4916
2,219.9165,-2.163063,224.4916
3,401.6065,19.39214,401.6065
4,347.687,20.39376,401.6065
5,497.1094,20.16133,497.1094
6,507.2935,21.26101,507.2935
7,900.1857,47.86183,900.1857
8,864.8179,24.50085,900.1857
9,1719.581,61.80664,1719.581
10,895.4622,38.33706,1719.581
11,869.1906,19.6867,1719.581
12,861.8306,49.7989,1719.581
13,879.821,62.0762,1719.581
14,877.982,30.16994,1719.581
15,856.1796,28.60157,1719.581
16,831.2334,21.22429,1719.581
17,876.8558,20.4293,1719.581
18,664.2789,11.01695,1719.581
19,152.9417,14.43358,1719.581
20,862.6688,22.71713,1719.581
21,101.8535,-2.632738,1719.581
22,901.0297,16.5628,1719.581
23,269.4792,-2.553971,1719.581
24,988.9473,44.99048,1719.581
25,972.2747,28.44483,1719.581
26,834.9409,32.43895,1719.581
27,10.34497,5.078441,1719.581
28,822.3651,23.33267,1719.581
29,879.8035,39.99951,1719.581
30,772.2476,20.93887,1719.581
31,401.6593,8.863468,1719.581
32,116.9737,8.142736,1719.581
33,54.06472,-17.77724,1719.581
34,372.6807,19.38311,1719.581
35,830.2345,45.46587,1719.581
36,875.9941,27.59238,1719.581
37,122.2116,6.032897,1719.581
38,150.7177,12.14197,1719.581
39,894.0497,39.30791,1719.581
40,992.1655,73.38253,1719.581
41,58.80387,3.610633,1719.581
42,493.8936,21.02508,1719.581
43,143.4133,8.989954,1719.581
44,806.9474,30.71539,1719.581
45,506.9934,13.48294,1719.581
46,149.3515,11.12002,1719.581
47,806.9908,24.30695,1719.581
48,484.4614,16.25541,1719.581
49,848.9206,17.81763,1719.581

