Generation,PopBest,PopAvg,BestOverall
0,12.03785,1.114207,12.03785
1,12.98994,3.607973,12.98994
2,11.65979,1.211002,12.98994
3,8.311672,1.361642,12.98994
4,7.156212,1.835674,12.98994
5,6.506761,2.156447,12.98994
6,10.88788,0.8659252,12.98994
7,7.11184,0.5041914,12.98994
8,7.187099,1.570061,12.98994
9,11.9312,3.283749,12.98994
10,10.43385,2.990773,12.98994
11,8.52304,3.339814,12.98994
12,10.80024,4.955736,12.98994
13,11.48714,2.070804,12.98994
14,8.787661,2.05034,12.98994
15,11.30092,2.654989,12.98994
16,3.315945,0.3215902,12.98994
17,17.47066,1.853923,17.47066
18,14.26445,2.913125,17.47066
19,17.86648,4.279228,17.86648
20,17.27298,2.593888,17.86648
21,16.60726,3.786256,17.86648
22,11.58945,4.11039,17.86648
23,17.10157,4.937325,17.86648
24,18.44396,2.911545,18.44396
25,6.617012,2.073551,18.44396
26,18.94785,5.884277,18.94785
27,15.50155,2.207025,18.94785
28,15.50641,4.666887,18.94785
29,10.78557,2.659814,18.94785

