Generation,PopBest,PopAvg,BestOverall
0,-1.153411E-05,-1.153411E-05,-1.153411E-05
1,1.181832E-06,1.181832E-06,1.181832E-06
2,-1.335298E-05,-1.335298E-05,1.181832E-06
3,-0.0001751696,-0.0001751696,1.181832E-06
4,2.354027E-07,2.354027E-07,1.181832E-06
5,-21.29593,-21.29593,1.181832E-06
6,-0.0009608111,-0.0009608111,1.181832E-06
7,0.0002295108,0.0002295108,0.0002295108
8,-1.152472E-05,-1.152472E-05,0.0002295108
9,-1.21663E-05,-1.21663E-05,0.0002295108
10,-67.46154,-67.46154,0.0002295108
11,9.696253E-06,9.696253E-06,0.0002295108
12,-1.124595E-05,-1.124595E-05,0.0002295108
13,-1.123802E-05,-1.123802E-05,0.0002295108
14,-0.001055252,-0.001055252,0.0002295108
15,-1.152388E-05,-1.152388E-05,0.0002295108
16,-1.335783E-05,-1.335783E-05,0.0002295108
17,-0.0002186599,-0.0002186599,0.0002295108
18,-0.0004343062,-0.0004343062,0.0002295108
19,-6.164269,-6.164269,0.0002295108
20,-1.169836E-05,-1.169836E-05,0.0002295108
21,-5.524217E-06,-5.524217E-06,0.0002295108
22,-2.20668,-2.20668,0.0002295108
23,-0.0008711307,-0.0008711307,0.0002295108
24,-166.7101,-166.7101,0.0002295108
25,2.019518E-05,2.019518E-05,0.0002295108
26,-51.46748,-51.46748,0.0002295108
27,-57.78637,-57.78637,0.0002295108
28,-0.0001507251,-0.0001507251,0.0002295108
29,-0.0007350884,-0.0007350884,0.0002295108
30,6.72952,6.72952,6.72952
31,9.431301E-07,9.431301E-07,6.72952
32,-1.313758E-05,-1.313758E-05,6.72952
33,13.60873,13.60873,13.60873
34,1.181379E-06,1.181379E-06,13.60873
35,-0.000188853,-0.000188853,13.60873
36,9.427023E-07,9.427023E-07,13.60873
37,-2.352387E-06,-2.352387E-06,13.60873
38,0.366759,0.366759,13.60873
39,-1.199069E-05,-1.199069E-05,13.60873
40,-1.12295E-05,-1.12295E-05,13.60873
41,-1.122955E-05,-1.122955E-05,13.60873
42,7.07117E-07,7.07117E-07,13.60873
43,-0.150371,-0.150371,13.60873
44,-0.0007556078,-0.0007556078,13.60873
45,9.449148E-07,9.449148E-07,13.60873
46,-1.122952E-05,-1.122952E-05,13.60873
47,-96.599,-96.599,13.60873
48,1.180174E-06,1.180174E-06,13.60873
49,4.102556,4.102556,13.60873

