Generation,PopBest,PopAvg,BestOverall
0,0.003430584,0.003430561,0.003430584
1,0.003450438,-0.2296356,0.003450438
2,0.6951578,-0.3081841,0.6951578
3,1.177784,-0.08998644,1.177784
4,0.9838855,-0.04385798,1.177784
5,9.698606,0.4615163,9.698606
6,7.173426,0.2594904,9.698606
7,7.7776,0.5600197,9.698606
8,9.013392,0.5272518,9.698606
9,8.240899,0.257277,9.698606
10,9.561507,1.035368,9.698606
11,13.48078,0.9316251,13.48078
12,8.400251,0.1257983,13.48078
13,8.7237,0.07041236,13.48078
14,1.293014,-0.3957998,13.48078
15,8.014917,-0.09267776,13.48078
16,9.848403,0.1702901,13.48078
17,13.78193,0.4097903,13.78193
18,7.689321,0.3412276,13.78193
19,13.32055,0.6110938,13.78193
20,11708.11,234.1207,11708.11
21,12490.59,249.7939,12490.59
22,0.5207662,-0.2191478,12490.59
23,6.731765,0.01595718,12490.59
24,1.325325,0.03855105,12490.59
25,17.78509,0.3068843,12490.59
26,0.003449331,-0.2420999,12490.59
27,8.081984,0.1370154,12490.59
28,0.02779026,-0.09144823,12490.59
29,1.183473,-0.0223547,12490.59
30,0.140742,-0.01840175,12490.59
31,7.384072,0.1591259,12490.59
32,0.003457995,-0.169553,12490.59
33,3.968338,0.09842025,12490.59
34,3.652658,0.08144927,12490.59
35,10.23356,0.3719079,12490.59
36,12.65736,0.5643227,12490.59
37,0.6739208,-0.03921479,12490.59
38,11754.08,235.0202,12490.59
39,8.838811,0.2520732,12490.59
40,0.159462,-0.04239066,12490.59
41,8.512155,0.1318027,12490.59
42,9.362045,0.189705,12490.59
43,7.502835,0.09546214,12490.59
44,15.66475,0.2576827,12490.59
45,9.616135,0.3997138,12490.59
46,8.947756,0.2130362,12490.59
47,0.007047116,-0.05531567,12490.59
48,0.2824782,-0.03877382,12490.59
49,12.61321,0.3800533,12490.59

