Generation,PopBest,PopAvg,BestOverall
0,-1.153411E-05,-1.153411E-05,-1.153411E-05
1,-0.0004363219,-0.0004363219,-1.153411E-05
2,-0.001085873,-0.001085873,-1.153411E-05
3,-165.0623,-165.0623,-1.153411E-05
4,-75.15709,-75.15709,-1.153411E-05
5,-0.001079145,-0.001079145,-1.153411E-05
6,-0.001085466,-0.001085466,-1.153411E-05
7,-0.001093244,-0.001093244,-1.153411E-05
8,-1.381273E-05,-1.381273E-05,-1.153411E-05
9,-1.15311E-05,-1.15311E-05,-1.15311E-05
10,-90.83376,-90.83376,-1.15311E-05
11,-1.124334E-05,-1.124334E-05,-1.124334E-05
12,-1.124403E-05,-1.124403E-05,-1.124334E-05
13,-1.124288E-05,-1.124288E-05,-1.124288E-05
14,-1.122954E-05,-1.122954E-05,-1.122954E-05
15,-1.122951E-05,-1.122951E-05,-1.122951E-05
16,-1.126921E-05,-1.126921E-05,-1.122951E-05
17,14.3936,14.3936,14.3936
18,516.5487,516.5487,516.5487
19,-0.06924482,-0.06924482,516.5487
20,1.182736E-06,1.182736E-06,516.5487
21,-2.380453,-2.380453,516.5487
22,1.183309E-06,1.183309E-06,516.5487
23,-14.25238,-14.25238,516.5487
24,1.419672E-06,1.419672E-06,516.5487
25,58.95407,58.95407,516.5487
26,-0.0002005313,-0.0002005313,516.5487
27,-0.0009345214,-0.0009345214,516.5487
28,588.1159,588.1159,588.1159
29,-0.676811,-0.676811,588.1159
30,2.014025,2.014025,588.1159
31,-0.000948773,-0.000948773,588.1159
32,-2.887012E-06,-2.887012E-06,588.1159
33,3.992063E-05,3.992063E-05,588.1159
34,-0.0005957566,-0.0005957566,588.1159
35,1.136694E-05,1.136694E-05,588.1159
36,1.297917E-05,1.297917E-05,588.1159
37,1.078429E-05,1.078429E-05,588.1159
38,1.420987E-06,1.420987E-06,588.1159
39,0.1868624,0.1868624,588.1159
40,1.182298E-06,1.182298E-06,588.1159
41,-1.313396E-05,-1.313396E-05,588.1159
42,-0.0002572624,-0.0002572624,588.1159
43,-0.0002080769,-0.0002080769,588.1159
44,-1.623626,-1.623626,588.1159
45,7.070807E-07,7.070807E-07,588.1159
46,512.2646,512.2646,588.1159
47,0.9320992,0.9320992,588.1159
48,-0.0006626763,-0.0006626763,588.1159
49,-3.477799,-3.477799,588.1159

