Generation,PopBest,PopAvg,BestOverall
0,0.3218151,0.09490188,0.3218151
1,0.3974015,0.108413,0.3974015
2,0.2610446,0.09747666,0.3974015
3,0.4610178,0.1466012,0.4610178
4,0.4648937,0.1725437,0.4648937
5,0.3661564,0.1588766,0.4648937
6,0.4916819,0.1092546,0.4916819
7,1.855526,0.2154111,1.855526
8,0.4154889,0.1146424,1.855526
9,0.3387895,0.1344074,1.855526
10,0.4932486,0.1652115,1.855526
11,0.3027205,0.1393807,1.855526
12,0.7087022,0.1625577,1.855526
13,21.89409,1.166386,21.89409
14,0.3744184,0.1427912,21.89409
15,4.154221E+13,1.730925E+12,4.154221E+13
16,3.501495,0.2864677,4.154221E+13
17,0.5088587,0.0999884,4.154221E+13
18,0.3028422,0.09289017,4.154221E+13
19,31014.51,1292.421,4.154221E+13
20,0.3916456,0.1068464,4.154221E+13
21,0.4985381,0.108871,4.154221E+13
22,0.4584567,0.08005857,4.154221E+13
23,0.1839438,0.08180497,4.154221E+13

