Generation,PopBest,PopAvg,BestOverall
0,-144.201,-144.201,-144.201
1,-120.3806,-120.3806,-120.3806
2,-182.6508,-182.6508,-120.3806
3,-102.3539,-102.3539,-102.3539
4,-197.6734,-197.6734,-102.3539
5,-84.07101,-84.07101,-84.07101
6,14.02185,14.02185,14.02185
7,-202.0178,-202.0178,14.02185
8,103.6244,103.6244,103.6244
9,40.31054,40.31054,103.6244
10,51.06006,51.06006,103.6244
11,119.9502,119.9502,119.9502
12,-42.64772,-42.64772,119.9502
13,441.9438,441.9438,441.9438
14,-23.18543,-23.18543,441.9438
15,935.1537,935.1537,935.1537
16,-242.0969,-242.0969,935.1537
17,-19.99967,-19.99967,935.1537
18,-27.54988,-27.54988,935.1537
19,1085.468,1085.468,1085.468
20,-105.9238,-105.9238,1085.468
21,-33.66503,-33.66503,1085.468
22,-51.43937,-51.43937,1085.468
23,65.18419,65.18419,1085.468
24,-70.07778,-70.07778,1085.468

