Generation,PopBest,PopAvg,BestOverall
0,11.58141,0.5729822,11.58141
1,8.974195,-1.141982,11.58141
2,12.23858,1.565238,12.23858
3,6.453893,0.9721656,12.23858
4,9.742674,3.223141,12.23858
5,10.01225,3.15856,12.23858
6,9.744936,1.073944,12.23858
7,10.35801,3.236376,12.23858
8,6.349184,1.820574,12.23858
9,10.12058,2.054948,12.23858
10,10.77446,0.7570035,12.23858
11,10.68937,2.950186,12.23858
12,11.93395,2.208862,12.23858
13,7.234666,0.9567049,12.23858
14,11.34761,3.828892,12.23858
15,10.74743,1.864318,12.23858
16,17.1959,2.47719,17.1959
17,10.76513,3.375309,17.1959
18,16.5623,5.100737,17.1959
19,7.580024,2.645798,17.1959
20,10.9465,1.184438,17.1959
21,12.16484,3.54897,17.1959
22,9.778885,1.884845,17.1959
23,2.80532,0.1391701,17.1959
24,2.178546,-0.1014177,17.1959
25,6.762068,0.6350727,17.1959
26,16.37299,5.805242,17.1959
27,17.17863,3.468621,17.1959
28,12.53247,0.733609,17.1959
29,12.39859,1.542153,17.1959

